Accession,Release_Date,Species,Nuc_Completeness,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
YP_009742608,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,leader protein,China,,Homo sapiens,,2019-12
YP_009742609,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp2,China,,Homo sapiens,,2019-12
YP_009742610,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp3,China,,Homo sapiens,,2019-12
YP_009742611,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp4,China,,Homo sapiens,,2019-12
YP_009742612,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,3C-like proteinase,China,,Homo sapiens,,2019-12
YP_009742613,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp6,China,,Homo sapiens,,2019-12
YP_009742614,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp7,China,,Homo sapiens,,2019-12
YP_009742615,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp8,China,,Homo sapiens,,2019-12
YP_009742616,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp9,China,,Homo sapiens,,2019-12
YP_009742617,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp10,China,,Homo sapiens,,2019-12
YP_009725318,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,China,,Homo sapiens,,2019-12
YP_009725295,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,China,,Homo sapiens,,2019-12
YP_009725297,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,leader protein,China,,Homo sapiens,,2019-12
YP_009725298,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp2,China,,Homo sapiens,,2019-12
YP_009725299,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp3,China,,Homo sapiens,,2019-12
YP_009725300,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp4,China,,Homo sapiens,,2019-12
YP_009725301,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,3C-like proteinase,China,,Homo sapiens,,2019-12
YP_009725302,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp6,China,,Homo sapiens,,2019-12
YP_009725303,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp7,China,,Homo sapiens,,2019-12
YP_009725304,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp8,China,,Homo sapiens,,2019-12
YP_009725305,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp9,China,,Homo sapiens,,2019-12
YP_009725306,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp10,China,,Homo sapiens,,2019-12
YP_009725307,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,RNA-dependent RNA polymerase,China,,Homo sapiens,,2019-12
YP_009725308,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,helicase,China,,Homo sapiens,,2019-12
YP_009725309,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,3'-to-5' exonuclease,China,,Homo sapiens,,2019-12
YP_009725310,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,endoRNAse,China,,Homo sapiens,,2019-12
YP_009725311,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,2'-O-ribose methyltransferase,China,,Homo sapiens,,2019-12
YP_009725312,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nsp11,China,,Homo sapiens,,2019-12
YP_009725255,2020-01-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,China,,Homo sapiens,,2019-12
YP_009724389,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,China,,Homo sapiens,,2019-12
YP_009724390,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,China,,Homo sapiens,,2019-12
YP_009724391,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,China,,Homo sapiens,,2019-12
YP_009724392,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,China,,Homo sapiens,,2019-12
YP_009724393,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,China,,Homo sapiens,,2019-12
YP_009724394,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,China,,Homo sapiens,,2019-12
YP_009724395,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,China,,Homo sapiens,,2019-12
YP_009724396,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,China,,Homo sapiens,,2019-12
YP_009724397,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,China,,Homo sapiens,,2019-12
QPG02368,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02369,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02370,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02371,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02372,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02373,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02374,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02375,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02376,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02377,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02378,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
QPG02379,2020-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,West Bank: Jericho,,Homo sapiens,oronasopharynx,2020-11-07
BCN28095,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28096,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-07
BCN28097,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28098,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28099,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28100,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28101,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
